"STATION","DATE","SOURCE","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","AA1","AA2","AY1","AY2","AZ1","AZ2","CALL_SIGN","CIG","DEW","EQD","GA1","GA2","GA3","GE1","GF1","IA1","KA1","KA2","MA1","MD1","ME1","MW1","QUALITY_CONTROL","REM","REPORT_TYPE","SLP","SOURCE","TMP","VIS","WND"
"42367099999","2005-03-18T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0164,1","Q01  00002PRCP06",,,,,"02,99,1,99,9,99,9,00800,1,99,9,99,9",,"999,M,+0374,1",,,,,,"V020","SYN064AAXX  18124 42367 32596 20505 10346 20164 40065 59015 333 10374;","FM-12","10065,1","4","+0346,1","004000,1,N,1","050,1,N,0026,1"
"42367099999","2005-03-19T06:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0181,1","Q01  00002PRCP06","00,1,+99999,9,99,9",,,,"00,99,1,00,1,00,1,99999,9,00,1,00,1",,,,,"9,9,999,9,-015,1",,,"V020","SYN058AAXX  19064 42367 32996 01605 10320 20181 40088 333 59015;","FM-12","10088,1","4","+0320,1","004000,1,N,1","160,1,N,0026,1"
"42367099999","2005-03-22T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0132,1","Q01  00002PRCP06",,,,,"03,99,1,03,1,04,1,01250,1,00,1,00,1",,"120,M,+0354,1",,,"9,9,999,9,+010,1",,,"V020","SYN070AAXX  22124 42367 32696 30210 10312 20132 40037 83400 333 10354 58010;","FM-12","10037,1","4","+0312,1","004000,1,N,1","020,1,N,0051,1"
"42367099999","2005-03-23T06:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0109,1","Q01  00002PRCP06",,,,,"01,99,1,00,1,00,1,99999,9,00,1,01,1",,,,,"9,9,999,9,+001,1",,,"V020","SYN064AAXX  23064 42367 32996 19903 10300 20109 40068 80001 333 58001;","FM-12","10068,1","4","+0300,1","004000,1,N,1","999,9,V,0015,1"
"42367099999","2005-03-24T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0093,1","Q01  00002PRCP06",,,,,"02,99,1,02,1,04,1,00800,1,00,1,00,1",,"120,M,+0332,1",,,"9,9,999,9,+037,1",,,"V020","SYN070AAXX  24124 42367 32596 23210 10300 20093 40066 82400 333 10332 58037;","FM-12","10066,1","4","+0300,1","004000,1,N,1","320,1,N,0051,1"
"42367099999","2005-03-29T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0095,1","Q01  00002PRCP06",,,,,"01,99,1,01,1,00,1,99999,9,03,1,00,1",,,,,"9,9,999,9,+020,1",,,"V020","SYN064AAXX  29004 42367 32996 10504 10200 20095 40070 81030 333 58020;","FM-12","10070,1","4","+0200,1","004000,1,N,1","050,1,N,0021,1"
"42367099999","2005-03-29T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","09000,1,9,N","+0054,1","Q01  00002PRCP06",,,,,"05,99,1,02,1,05,1,00800,1,03,1,01,1",,"120,M,+0360,1",,,"9,9,999,9,+000,1",,,"V020","SYN070AAXX  29124 42367 32596 50505 10334 20054 40049 82531 333 10360 58000;","FM-12","10049,1","4","+0334,1","004000,1,N,1","050,1,N,0026,1"
"42367099999","2005-03-30T12:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0075,1","Q01  00002PRCP06",,,,,"02,99,1,01,1,05,1,01250,1,03,1,00,1",,"120,M,+0352,1",,,"9,9,999,9,-005,1",,,"V020","SYN070AAXX  30124 42367 32696 29903 10344 20075 40044 81530 333 10352 59005;","FM-12","10044,1","4","+0344,1","004000,1,N,1","999,9,V,0015,1"
"42367099999","2005-05-21T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0141,1","Q01  00002PRCP06",,,,,"03,99,1,00,1,00,1,99999,9,03,1,01,1",,,,,"9,9,999,9,+004,1",,,"V020","SYN064AAXX  21004 42367 32996 32312 10290 20141 40031 80031 333 58004;","FM-12","10031,1","4","+0290,1","004000,1,N,1","230,1,N,0062,1"
"42367099999","2005-05-23T00:00:00","4","FM-12","VICX ","V020","06,0000,9,1",,,,,,"VICX ","22000,1,9,N","+0113,1","Q01  00002PRCP06",,,,,"04,99,1,03,1,04,1,01250,1,03,1,01,1",,,,,"9,9,999,9,-005,1",,,"V020","SYN064AAXX  23004 42367 32696 42905 10280 20113 40043 83431 333 59005;","FM-12","10043,1","4","+0280,1","004000,1,N,1","290,1,N,0026,1"
